,Serial_Number,CGPA,Research,Chance_of_Admit,GRE_Score,TOEFL_Score
0,1,9.65,1.0,0.92,337.0,118.0
1,2,8.87,1.0,0.76,324.0,107.0
2,3,8.0,1.0,0.72,316.0,104.0
3,4,8.67,1.0,0.8,322.0,110.0
4,5,8.21,0.0,0.65,314.0,103.0
5,6,9.34,1.0,0.9,330.0,115.0
6,7,8.2,1.0,0.75,321.0,109.0
7,8,7.9,0.0,0.68,308.0,101.0
8,9,8.0,0.0,0.5,302.0,102.0
9,10,8.6,0.0,0.45,323.0,108.0
10,11,8.4,1.0,0.52,325.0,106.0
11,12,9.0,1.0,0.84,327.0,111.0
12,13,9.1,1.0,0.78,328.0,112.0
13,14,8.0,1.0,0.62,307.0,109.0
14,15,8.2,1.0,0.61,311.0,104.0
15,16,8.3,0.0,0.54,314.0,105.0
16,17,8.7,0.0,0.66,317.0,107.0
17,18,8.0,1.0,0.65,319.0,106.0
18,19,8.8,0.0,0.63,318.0,110.0
19,20,8.5,0.0,0.62,303.0,102.0
20,21,7.9,1.0,0.64,312.0,107.0
21,22,8.4,0.0,0.7,325.0,114.0
22,23,9.5,1.0,0.94,328.0,116.0
23,24,9.7,1.0,0.95,334.0,119.0
24,25,9.8,1.0,0.97,336.0,119.0
25,26,9.6,1.0,0.94,340.0,120.0
26,27,8.8,0.0,0.76,322.0,109.0
27,28,7.5,1.0,0.44,298.0,98.0
28,29,7.2,0.0,0.46,295.0,93.0
29,30,7.3,0.0,0.54,310.0,99.0
30,31,8.1,1.0,0.65,300.0,97.0
31,32,8.3,1.0,0.74,327.0,103.0
32,33,9.4,1.0,0.91,338.0,118.0
33,34,9.6,1.0,0.9,340.0,114.0
34,35,9.8,1.0,0.94,331.0,112.0
35,36,9.2,1.0,0.88,320.0,110.0
36,37,8.4,0.0,0.64,299.0,106.0
37,38,7.8,0.0,0.58,300.0,105.0
38,39,7.5,0.0,0.52,304.0,105.0
39,40,7.7,0.0,0.48,307.0,108.0
40,41,8.0,1.0,0.46,308.0,110.0
41,42,8.2,1.0,0.49,316.0,105.0
42,43,8.5,1.0,0.53,313.0,107.0
43,44,9.1,0.0,0.87,332.0,117.0
44,45,9.4,1.0,0.91,326.0,113.0
45,46,9.1,1.0,0.88,322.0,110.0
46,47,9.3,1.0,0.86,329.0,114.0
47,48,9.7,0.0,0.89,339.0,119.0
48,49,8.85,1.0,0.82,321.0,110.0
49,50,8.4,1.0,0.78,327.0,111.0
